,number_bins,A
163,331.0,76.68188590619
164,333.0,76.2363708410836
165,335.0,75.80799038149041
166,337.0,75.33003469445788
167,339.0,74.95730982838398
168,341.0,74.37256802704296
169,343.0,73.97917345238432
170,345.0,73.55320158468085
171,347.0,73.13235510180655
172,349.0,72.68893805085096
173,351.0,72.33140148151647
174,353.0,71.92100088159059
175,355.0,71.48622307667102
176,357.0,71.06395072713381
177,359.0,70.6943919391556
178,361.0,70.31186748502266
179,363.0,69.95442429343858
180,365.0,69.63837861366491
181,367.0,69.15334460849427
182,369.0,68.78495666323711
183,371.0,68.42112397669327
184,373.0,68.02826530521918
185,375.0,67.66892603801068
186,377.0,67.33905280323754
187,379.0,66.97652014753142
188,381.0,66.61062925964734
189,383.0,66.22530159388302
190,385.0,65.9079420009048
191,387.0,65.56740595239245
192,389.0,65.25008366282057
193,391.0,64.913773051077
194,393.0,64.59540632680729
195,395.0,64.36497253289964
196,397.0,63.88560523757041
197,399.0,63.5720897117683
198,401.0,63.282067471473596
199,403.0,62.96830106722189
200,405.0,62.645267832229365
201,407.0,62.3481604830643
202,409.0,62.05916875820558
203,411.0,61.74825168836768
204,413.0,61.43484647314362
205,415.0,61.162769172243166
206,417.0,60.87985406052479
207,419.0,60.53968074828062
208,421.0,60.27776444831582
209,423.0,59.975162294619665
210,425.0,59.71029324952163
211,427.0,59.44462754580958
212,429.0,59.164780555954316
213,431.0,58.913084284344166
214,433.0,58.61682829783329
215,435.0,58.34585346989527
216,437.0,58.10600792607474
217,439.0,57.855936881979154
218,441.0,57.605417508561075
219,443.0,57.30559483817865
220,445.0,56.98993809189053
221,447.0,56.784235333141645
222,449.0,56.52300635623296
223,451.0,56.28792882917279
224,453.0,56.02684378942538
225,455.0,55.78118530328083
226,457.0,55.53745864608472
227,459.0,55.30005582873908
228,461.0,55.054285987673026
229,463.0,54.82574479692086
230,465.0,54.59320306306273
231,467.0,54.34267609603999
232,469.0,54.11824758777977
233,471.0,53.8975978767903
234,473.0,53.69592341405914
235,475.0,53.327424886861245
236,477.0,53.18673567600861
237,479.0,52.97898568977653
238,481.0,52.74786289674253
239,483.0,52.54101683085209
240,485.0,52.32669755017991
241,487.0,52.13061047402297
242,489.0,51.90210295491223
243,491.0,51.66874607738539
244,493.0,51.48210581445616
245,495.0,51.287548377503136
246,497.0,51.072929530756205
247,499.0,50.84763387314512
248,501.0,50.64783277464698
249,503.0,50.47188215893518
250,505.0,50.25011221015784
251,507.0,50.068181421912485
252,509.0,49.873723498626454
253,511.0,49.67723840688585
254,513.0,49.482836937461045
255,515.0,49.28641015927675
256,517.0,49.094498379543815
257,519.0,48.91720090505153
258,521.0,48.71461782715163
259,523.0,48.525692888994236
