,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9
227,51.0,54.0,53.0,52.0,54.0,52.0,53.0,53.0,53.0,51.0
228,50.0,52.0,50.0,53.0,54.0,52.0,53.0,50.0,53.0,52.0
229,52.0,53.0,52.0,54.0,53.0,52.0,52.0,51.0,53.0,53.0
230,53.0,50.0,53.0,52.0,51.0,50.0,55.0,51.0,55.0,52.0
231,53.0,51.0,51.0,52.0,53.0,52.0,53.0,53.0,55.0,53.0
232,53.0,52.0,52.0,53.0,50.0,52.0,53.0,50.0,53.0,52.0
233,51.0,51.0,51.0,53.0,52.0,52.0,53.0,52.0,54.0,52.0
234,53.0,52.0,54.0,50.0,53.0,51.0,53.0,52.0,51.0,52.0
235,50.0,51.0,51.0,52.0,54.0,51.0,51.0,52.0,52.0,50.0
236,53.0,52.0,53.0,51.0,53.0,51.0,53.0,54.0,53.0,53.0
237,53.0,53.0,52.0,51.0,53.0,52.0,53.0,52.0,53.0,51.0
238,51.0,51.0,52.0,52.0,53.0,52.0,52.0,52.0,53.0,52.0
239,51.0,51.0,53.0,52.0,53.0,50.0,53.0,53.0,53.0,51.0
240,53.0,51.0,52.0,52.0,51.0,52.0,52.0,52.0,53.0,51.0
241,52.0,53.0,53.0,52.0,52.0,51.0,54.0,52.0,51.0,51.0
242,52.0,52.0,53.0,51.0,53.0,50.0,53.0,51.0,52.0,50.0
243,52.0,53.0,51.0,50.0,53.0,53.0,51.0,53.0,54.0,53.0
244,52.0,53.0,51.0,53.0,53.0,54.0,53.0,54.0,56.0,53.0
245,52.0,52.0,51.0,53.0,52.0,52.0,53.0,52.0,54.0,52.0
246,53.0,52.0,52.0,52.0,53.0,53.0,53.0,53.0,52.0,55.0
247,52.0,51.0,54.0,52.0,54.0,51.0,51.0,53.0,51.0,52.0
248,53.0,52.0,52.0,53.0,53.0,52.0,52.0,51.0,54.0,53.0
249,53.0,54.0,53.0,51.0,53.0,54.0,51.0,53.0,52.0,54.0
250,51.0,50.0,52.0,53.0,53.0,51.0,52.0,52.0,55.0,53.0
251,55.0,52.0,52.0,52.0,53.0,52.0,52.0,51.0,53.0,54.0
252,54.0,52.0,51.0,51.0,53.0,54.0,52.0,52.0,54.0,51.0
253,52.0,50.0,51.0,54.0,53.0,52.0,54.0,51.0,52.0,53.0
254,52.0,52.0,53.0,53.0,53.0,50.0,53.0,52.0,51.0,53.0
255,50.0,55.0,52.0,52.0,53.0,53.0,52.0,53.0,56.0,54.0
256,53.0,53.0,50.0,53.0,53.0,54.0,53.0,51.0,55.0,53.0
257,51.0,53.0,51.0,53.0,53.0,48.0,53.0,51.0,53.0,53.0
258,51.0,52.0,51.0,50.0,53.0,53.0,52.0,52.0,54.0,53.0
259,52.0,50.0,53.0,51.0,55.0,53.0,52.0,52.0,55.0,52.0
260,52.0,52.0,50.0,52.0,53.0,52.0,52.0,53.0,54.0,53.0
261,53.0,53.0,51.0,52.0,51.0,52.0,52.0,50.0,54.0,53.0
262,53.0,52.0,53.0,53.0,53.0,52.0,52.0,51.0,53.0,51.0
263,52.0,53.0,52.0,52.0,54.0,52.0,52.0,52.0,53.0,52.0
264,50.0,52.0,52.0,52.0,52.0,53.0,53.0,52.0,53.0,52.0
265,51.0,51.0,50.0,53.0,52.0,52.0,53.0,52.0,53.0,53.0
266,54.0,52.0,52.0,51.0,53.0,53.0,52.0,50.0,53.0,52.0
267,52.0,51.0,52.0,53.0,54.0,53.0,53.0,53.0,53.0,52.0
268,52.0,51.0,52.0,54.0,53.0,53.0,52.0,52.0,52.0,52.0
269,53.0,53.0,51.0,52.0,54.0,52.0,50.0,52.0,53.0,52.0
