,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,event_10,event_11,event_12,event_13,event_14,event_15,event_16,event_17,event_18,event_19
859,53.0,53.0,51.0,51.0,50.0,50.0,55.0,53.0,55.0,53.0,52.0,52.0,52.0,53.0,53.0,53.0,54.0,54.0,53.0,52.0
860,52.0,52.0,52.0,52.0,54.0,54.0,55.0,53.0,53.0,52.0,54.0,54.0,54.0,52.0,52.0,52.0,52.0,51.0,52.0,53.0
861,52.0,52.0,53.0,53.0,52.0,52.0,53.0,53.0,53.0,54.0,52.0,52.0,52.0,52.0,52.0,52.0,51.0,54.0,54.0,53.0
862,51.0,51.0,53.0,53.0,53.0,53.0,53.0,52.0,52.0,53.0,53.0,53.0,53.0,54.0,54.0,54.0,53.0,53.0,52.0,52.0
863,52.0,52.0,52.0,52.0,54.0,54.0,55.0,53.0,53.0,55.0,53.0,53.0,53.0,54.0,54.0,54.0,53.0,53.0,51.0,52.0
864,51.0,51.0,52.0,52.0,53.0,53.0,52.0,53.0,51.0,53.0,54.0,54.0,54.0,50.0,50.0,50.0,49.0,52.0,54.0,50.0
865,51.0,51.0,54.0,54.0,53.0,53.0,53.0,51.0,52.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,52.0,54.0
866,52.0,52.0,54.0,54.0,52.0,52.0,53.0,51.0,52.0,55.0,51.0,51.0,51.0,51.0,51.0,51.0,54.0,53.0,52.0,54.0
867,52.0,52.0,53.0,53.0,54.0,54.0,53.0,52.0,53.0,53.0,54.0,54.0,54.0,54.0,54.0,54.0,53.0,54.0,52.0,54.0
868,53.0,53.0,53.0,53.0,53.0,53.0,55.0,54.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,52.0,53.0,51.0,54.0
869,52.0,52.0,52.0,52.0,52.0,52.0,51.0,52.0,52.0,53.0,53.0,53.0,53.0,52.0,52.0,52.0,52.0,53.0,53.0,53.0
870,51.0,51.0,54.0,54.0,51.0,51.0,53.0,51.0,53.0,53.0,55.0,55.0,55.0,50.0,50.0,50.0,53.0,52.0,54.0,52.0
871,54.0,54.0,52.0,52.0,50.0,50.0,51.0,51.0,54.0,55.0,53.0,53.0,53.0,53.0,53.0,53.0,51.0,54.0,53.0,52.0
872,54.0,54.0,52.0,52.0,53.0,53.0,52.0,52.0,54.0,54.0,55.0,55.0,55.0,53.0,53.0,53.0,51.0,54.0,53.0,52.0
873,53.0,53.0,53.0,53.0,52.0,52.0,53.0,52.0,55.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,52.0
874,53.0,53.0,54.0,54.0,50.0,50.0,54.0,53.0,54.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,54.0,53.0,52.0,53.0
875,54.0,54.0,55.0,55.0,52.0,52.0,54.0,52.0,54.0,53.0,54.0,54.0,54.0,53.0,53.0,53.0,53.0,52.0,52.0,51.0
876,53.0,53.0,53.0,53.0,53.0,53.0,52.0,50.0,53.0,52.0,53.0,53.0,53.0,54.0,54.0,54.0,52.0,54.0,55.0,53.0
