,peak_X0,peak_Y0
event_631,104.0,-70.8
event_632,103.0,-62.400000000000006
event_633,104.0,-70.8
event_634,104.0,-60.400000000000006
event_635,104.0,-70.8
event_636,104.0,-70.8
event_637,103.0,-70.8
event_638,104.0,-70.8
event_639,104.0,-70.8
event_640,103.0,-70.8
event_641,103.0,-60.00000000000001
event_642,104.0,-70.8
event_643,104.0,-70.8
event_644,103.0,-68.0
event_645,103.0,-48.800000000000004
event_646,104.0,-70.8
event_647,104.0,-68.0
event_648,103.0,-70.8
event_649,105.0,-70.8
event_650,104.0,-51.6
event_651,104.0,-70.8
event_652,104.0,-70.8
event_653,103.0,-60.00000000000001
event_654,103.0,-70.8
event_655,103.0,-69.60000000000001
event_656,104.0,-70.8
event_657,103.0,-70.8
event_658,104.0,-70.8
event_659,104.0,-67.2
event_660,104.0,-70.8
event_661,104.0,-70.8
event_662,103.0,-70.8
event_663,104.0,-65.60000000000001
event_664,104.0,-50.0
event_665,104.0,-52.400000000000006
event_666,103.0,-70.8
event_667,103.0,-52.00000000000001
event_668,103.0,-64.4
event_669,104.0,-70.8
event_670,104.0,-70.8
event_671,104.0,-70.0
event_672,103.0,-50.0
event_673,103.0,-70.8
event_674,103.0,-50.0
event_675,103.0,-70.8
event_676,104.0,-70.8
event_677,103.0,-70.8
event_678,103.0,-50.800000000000004
event_679,103.0,-60.8
event_680,103.0,-63.6
event_681,104.0,-70.8
event_682,104.0,-70.8
event_683,103.0,-49.60000000000001
event_684,104.0,-70.8
event_685,104.0,-70.8
event_686,104.0,-59.2
event_687,103.0,-58.800000000000004
event_688,103.0,-70.8
event_689,104.0,-70.8
event_690,103.0,-60.8
event_691,104.0,-70.8
event_692,104.0,-70.8
event_693,104.0,-70.8
event_694,103.0,-46.400000000000006
event_695,104.0,-70.8
event_696,104.0,-70.8
event_697,103.0,-70.8
event_698,104.0,-70.8
event_699,103.0,-46.0
event_700,103.0,-70.8
event_701,104.0,-70.8
event_702,103.0,-70.8
event_703,104.0,-69.2
event_704,104.0,-70.8
event_705,104.0,-62.80000000000001
event_706,103.0,-58.800000000000004
event_707,104.0,-70.8
event_708,103.0,-70.8
event_709,104.0,-70.8
event_710,103.0,-70.8
event_711,104.0,-70.8
event_712,103.0,-64.4
event_713,104.0,-70.8
event_714,103.0,-70.8
event_715,104.0,-70.8
event_716,103.0,-70.8
event_717,103.0,-70.8
event_718,104.0,-70.8
event_719,103.0,-70.8
event_720,104.0,-70.8
event_721,104.0,-70.8
event_722,104.0,-70.8
event_723,104.0,-70.8
event_724,103.0,-44.00000000000001
event_725,104.0,-70.8
event_726,104.0,-70.8
event_727,103.0,-45.6
event_728,104.0,-70.8
event_729,104.0,-52.8
event_730,104.0,-70.8
event_731,104.0,-70.0
event_732,103.0,-70.8
event_733,104.0,-70.8
event_734,103.0,-70.8
event_735,104.0,-62.80000000000001
event_736,104.0,-70.8
event_737,104.0,-70.8
event_738,104.0,-63.6
event_739,103.0,-42.800000000000004
event_740,103.0,-55.6
event_741,103.0,-43.2
event_742,103.0,-49.60000000000001
event_743,103.0,-54.0
event_744,104.0,-70.8
event_745,104.0,-70.8
event_746,103.0,-70.8
event_747,103.0,-44.4
event_748,104.0,-70.8
event_749,104.0,-53.6
event_750,104.0,-57.60000000000001
event_751,104.0,-70.8
event_752,104.0,-70.8
event_753,103.0,-70.8
event_754,103.0,-70.8
event_755,104.0,-70.8
event_756,103.0,-70.8
event_757,103.0,-50.0
event_758,103.0,-65.2
event_759,104.0,-70.8
event_760,104.0,-70.8
event_761,104.0,-70.8
event_762,103.0,-49.60000000000001
event_763,104.0,-69.2
event_764,104.0,-61.2
event_765,104.0,-70.8
event_766,103.0,-44.00000000000001
event_767,103.0,-51.2
event_768,103.0,-70.8
event_769,103.0,-70.8
event_770,104.0,-70.8
event_771,104.0,-70.8
event_772,103.0,-70.8
event_773,103.0,-70.8
event_774,103.0,-47.199999999999996
event_775,103.0,-70.8
event_776,103.0,-70.8
event_777,104.0,-70.8
event_778,103.0,-59.2
event_779,103.0,-62.80000000000001
event_780,103.0,-53.2
event_781,103.0,-42.4
event_782,103.0,-67.60000000000001
event_783,104.0,-70.8
event_784,104.0,-70.8
event_785,103.0,-70.8
event_786,104.0,-70.8
event_787,104.0,-70.8
event_788,104.0,-54.400000000000006
event_789,103.0,-56.400000000000006
event_790,104.0,-70.8
event_791,103.0,-70.8
event_792,104.0,-70.8
event_793,104.0,-70.8
event_794,104.0,-70.8
event_795,103.0,-70.8
event_796,104.0,-70.8
event_797,103.0,-68.8
