,peak_X0,peak_X1,peak_Y0,peak_Y1
event_290,104.0,1083.0,92.4,33.6
event_291,104.0,516.0,105.59999999999998,11.999999999999998
event_292,104.0,360.0,141.59999999999997,30.0
event_293,104.0,454.0,140.4,50.39999999999999
event_294,104.0,606.0,85.2,74.39999999999999
event_295,105.0,2046.0,127.19999999999996,33.6
event_296,105.0,1366.0,158.39999999999998,82.8
event_297,104.0,742.0,115.2,158.39999999999998
event_298,103.0,1448.0,27.599999999999994,52.79999999999999
event_299,104.0,254.0,80.4,100.79999999999998
event_300,104.0,600.0,61.2,31.2
event_301,103.0,300.0,43.2,81.6
event_302,104.0,549.0,163.2,28.8
event_303,103.0,874.0,40.8,79.19999999999999
event_304,104.0,822.0,85.2,103.2
event_305,104.0,1076.0,80.4,21.6
event_306,104.0,529.0,74.39999999999999,57.6
event_307,103.0,723.0,47.99999999999999,11.999999999999998
event_308,104.0,440.0,83.99999999999999,15.6
event_309,103.0,470.0,37.2,9.6
event_310,105.0,1408.0,100.79999999999998,110.39999999999998
event_311,104.0,610.0,69.6,57.6
event_312,103.0,828.0,39.6,151.19999999999996
event_313,103.0,281.0,41.99999999999999,22.8
event_314,104.0,399.0,108.0,41.99999999999999
event_315,104.0,388.0,120.0,30.0
event_316,105.0,599.0,124.8,26.399999999999995
event_317,104.0,325.0,60.0,24.0
event_318,103.0,268.0,22.8,25.2
event_319,104.0,2216.0,97.2,58.8
event_320,104.0,715.0,128.39999999999998,74.39999999999999
event_321,104.0,1139.0,111.6,15.6
event_322,103.0,2173.0,34.8,30.0
event_323,104.0,306.0,56.39999999999999,52.79999999999999
event_324,104.0,586.0,64.8,18.0
event_325,104.0,432.0,64.8,9.6
event_326,104.0,1701.0,103.2,37.2
event_327,104.0,1266.0,100.79999999999998,9.6
event_328,104.0,390.0,90.0,26.399999999999995
event_329,103.0,2328.0,31.2,63.59999999999999
event_330,105.0,730.0,76.8,78.0
event_331,104.0,585.0,82.8,90.0
event_332,105.0,859.0,90.0,16.8
event_333,103.0,2182.0,50.39999999999999,37.2
event_334,104.0,779.0,144.0,122.4
event_335,104.0,278.0,112.79999999999998,11.999999999999998
event_336,104.0,371.0,97.2,34.8
event_337,104.0,698.0,76.8,24.0
event_338,105.0,544.0,126.0,16.8
event_339,104.0,1433.0,75.59999999999998,18.0
event_340,104.0,751.0,100.79999999999998,39.6
event_341,105.0,266.0,115.2,69.6
event_342,105.0,820.0,68.39999999999999,21.6
event_343,103.0,258.0,62.4,9.6
event_344,103.0,577.0,39.6,18.0
event_345,104.0,587.0,36.0,144.0
event_346,104.0,833.0,70.79999999999998,51.6
event_347,104.0,328.0,64.8,47.99999999999999
event_348,104.0,1068.0,56.39999999999999,16.8
event_349,103.0,533.0,28.8,31.2
event_350,104.0,482.0,153.6,41.99999999999999
event_351,104.0,1032.0,104.4,90.0
event_352,103.0,374.0,65.99999999999999,19.2
event_353,105.0,676.0,139.2,79.19999999999999
event_354,104.0,824.0,52.79999999999999,87.6
event_355,103.0,866.0,40.8,10.8
event_356,105.0,1516.0,148.79999999999998,82.8
event_357,103.0,286.0,31.2,63.59999999999999
event_358,104.0,481.0,117.6,11.999999999999998
event_359,104.0,2411.0,47.99999999999999,14.4
event_360,103.0,749.0,32.4,26.399999999999995
event_361,104.0,744.0,120.0,94.8
event_362,104.0,280.0,123.6,25.2
event_363,104.0,278.0,74.39999999999999,19.2
event_364,104.0,1823.0,55.19999999999999,9.6
event_365,104.0,414.0,96.0,28.8
event_366,104.0,508.0,40.8,16.8
event_367,104.0,599.0,105.59999999999998,32.4
event_368,103.0,542.0,28.8,13.199999999999998
event_369,104.0,736.0,105.59999999999998,33.6
event_370,105.0,452.0,82.8,25.2
event_371,105.0,264.0,133.2,28.8
event_372,104.0,1842.0,50.39999999999999,18.0
event_373,104.0,587.0,30.0,56.39999999999999
event_374,104.0,256.0,108.0,14.4
event_375,104.0,1446.0,99.6,27.599999999999994
event_376,104.0,1210.0,82.8,37.2
event_377,104.0,990.0,146.39999999999998,127.19999999999996
event_378,104.0,979.0,36.0,21.6
event_379,104.0,1594.0,135.6,106.8
event_380,104.0,1153.0,61.2,81.6
event_381,104.0,401.0,130.8,44.39999999999999
event_382,104.0,549.0,94.8,18.0
event_383,105.0,1492.0,99.6,46.8
event_384,104.0,447.0,105.59999999999998,39.6
event_385,104.0,577.0,79.19999999999999,14.4
event_386,103.0,560.0,40.8,51.6
event_387,104.0,549.0,33.6,44.39999999999999
event_388,103.0,1151.0,24.0,73.19999999999999
event_389,104.0,2019.0,97.2,39.6
event_390,104.0,1785.0,45.6,10.8
event_391,103.0,780.0,65.99999999999999,26.399999999999995
event_392,104.0,654.0,93.6,139.2
event_393,105.0,722.0,147.6,15.6
event_394,104.0,1762.0,109.2,62.4
event_395,103.0,652.0,41.99999999999999,10.8
event_396,105.0,839.0,126.0,52.79999999999999
event_397,104.0,283.0,97.2,114.0
event_398,104.0,739.0,93.6,41.99999999999999
event_399,104.0,828.0,115.2,18.0
event_400,104.0,488.0,92.4,36.0
event_401,103.0,1075.0,28.8,87.6
event_402,104.0,1727.0,80.4,25.2
event_403,104.0,2411.0,127.19999999999996,19.2
event_404,104.0,293.0,57.6,36.0
event_405,104.0,479.0,61.2,10.8
event_406,104.0,403.0,146.39999999999998,37.2
event_407,104.0,833.0,109.2,57.6
event_408,104.0,477.0,65.99999999999999,40.8
event_409,104.0,482.0,96.0,31.2
event_410,104.0,292.0,144.0,10.8
event_411,104.0,328.0,81.6,24.0
event_412,104.0,277.0,87.6,78.0
event_413,104.0,441.0,137.99999999999997,25.2
event_414,104.0,286.0,87.6,34.8
event_415,104.0,580.0,52.79999999999999,79.19999999999999
event_416,104.0,1746.0,57.6,10.8
event_417,103.0,502.0,43.2,14.4
event_418,103.0,1735.0,31.2,13.199999999999998
event_419,104.0,268.0,79.19999999999999,11.999999999999998
event_420,104.0,636.0,62.4,21.6
event_421,105.0,857.0,94.8,112.79999999999998
event_422,102.0,286.0,28.8,96.0
event_423,103.0,418.0,55.19999999999999,21.6
event_424,104.0,1028.0,52.79999999999999,49.2
event_425,104.0,1022.0,61.2,32.4
event_426,104.0,1019.0,96.0,9.6
event_427,104.0,476.0,96.0,21.6
event_428,104.0,1063.0,80.4,30.0
event_429,104.0,2157.0,73.19999999999999,67.2
event_430,103.0,428.0,26.399999999999995,16.8
event_431,104.0,767.0,116.4,30.0
event_432,104.0,588.0,103.2,21.6
event_433,104.0,336.0,98.4,13.199999999999998
event_434,104.0,335.0,105.59999999999998,69.6
event_435,104.0,715.0,45.6,15.6
event_436,105.0,651.0,116.4,104.4
event_437,103.0,826.0,43.2,24.0
event_438,104.0,521.0,88.79999999999998,86.39999999999999
event_439,104.0,851.0,79.19999999999999,70.79999999999998
event_440,104.0,2305.0,50.39999999999999,11.999999999999998
event_441,104.0,948.0,37.2,24.0
event_442,104.0,548.0,90.0,19.2
event_443,105.0,1132.0,147.6,37.2
event_444,103.0,517.0,27.599999999999994,30.0
event_445,104.0,432.0,114.0,15.6
event_446,104.0,1557.0,146.39999999999998,25.2
event_447,103.0,274.0,57.6,22.8
event_448,104.0,1120.0,86.39999999999999,16.8
event_449,104.0,341.0,135.6,20.4
event_450,104.0,362.0,79.19999999999999,24.0
event_451,104.0,563.0,104.4,64.8
event_452,104.0,1702.0,106.8,30.0
event_453,104.0,755.0,109.2,49.2
event_454,104.0,737.0,58.8,38.4
event_455,103.0,372.0,56.39999999999999,72.0
event_456,104.0,1019.0,92.4,98.4
event_457,104.0,313.0,96.0,57.6
event_458,104.0,455.0,97.2,43.2
