,delta_x,integrais_muon,integrais_eletron,x_pico_muon,y_pico_muon,x_pico_eletron,y_pico_eletron
4372,149.0,836.1878594438344,516.1878594438308,94,-179.27678966421792,243,-154.27678966421792
4373,292.0,375.1878594438306,256.1878594438306,94,-136.27678966421792,386,-75.27678966421793
4374,292.0,375.1878594438306,256.1878594438306,94,-136.27678966421792,386,-75.27678966421793
4375,337.0,839.1878594438346,313.1878594438306,94,-179.27678966421792,431,-96.27678966421793
4376,176.0,863.1878594438346,481.1878594438306,94,-179.27678966421792,270,-158.27678966421792
4377,176.0,863.1878594438346,481.1878594438306,94,-179.27678966421792,270,-158.27678966421792
4378,30.0,1151.18785944383,438.1878594438306,94,-179.27678966421792,124,-125.27678966421793
4379,30.0,1151.18785944383,438.1878594438306,94,-179.27678966421792,124,-125.27678966421793
4380,581.0,701.1878594438344,722.1878594438344,94,-179.27678966421792,675,-179.27678966421792
4381,691.0,583.1878594438343,159.18785944383063,94,-179.27678966421792,785,-66.27678966421793
4382,691.0,583.1878594438343,159.18785944383063,94,-179.27678966421792,785,-66.27678966421793
